state_pc,infl_pneumonia_rate,fake_year_treated,pop3,year,rand_e,rand_st,rand_yr,treated,fake_value,true_treatment_effect
AL,167.051132302731,1930,2583.51831054688,1928,13.0706574938542,13.005460361895,3.80550724654658,0,167.247927378255,0
AL,167.051132302731,1930,2583.51831054688,1929,-1.7742924211066,13.005460361895,5.28517737963575,0,165.837415893413,0
AL,167.051132302731,1930,2583.51831054688,1930,-9.84441176683056,13.005460361895,0.046750644680619,1,164.768482622093,0
AL,167.051132302731,1930,2583.51831054688,1931,24.4569770262935,13.005460361895,9.1333140894142,1,161.153480988864,-7.49946868477741
AL,167.051132302731,1930,2583.51831054688,1932,-3.2912468881105,13.005460361895,-12.6819007742547,1,149.788429169463,-14.9989373695549
AL,167.051132302731,1930,2583.51831054688,1933,-4.06055892157574,13.005460361895,3.87536030090232,1,143.039892335097,-22.4984060543323
AL,167.051132302731,1930,2583.51831054688,1934,6.74739960134649,13.005460361895,6.28552423477519,1,136.741727699305,-29.9978747391097
AL,167.051132302731,1930,2583.51831054688,1935,6.46631855784187,13.005460361895,9.73012923256978,1,129.386381160067,-37.4973434238871
AL,167.051132302731,1930,2583.51831054688,1936,6.64451999093283,13.005460361895,-8.35893072400666,1,121.00027962077,-44.9968121086646
AL,167.051132302731,1930,2583.51831054688,1937,9.90037829044104,13.005460361895,13.7726732302221,1,114.932976963655,-52.496280793442
AL,167.051132302731,1930,2583.51831054688,1938,5.77192699753547,13.005460361895,5.6873983893923,1,106.616399407546,-59.9957494782194
AL,167.051132302731,1930,2583.51831054688,1939,10.983864448597,13.005460361895,-2.12516273339671,1,99.2474964117348,-67.4952181629968
AL,167.051132302731,1930,2583.51831054688,1940,8.7625389463799,13.005460361895,2.08322301643512,1,91.7363144642273,-74.9946868477743
AL,167.051132302731,1930,2583.51831054688,1941,0.355411827237306,13.005460361895,-1.50790417333031,1,83.2165767080473,-82.4941555325517
AL,167.051132302731,1930,2583.51831054688,1942,-8.59494058970771,13.005460361895,14.1619339420622,1,75.605564687345,-89.9936242173291
AL,167.051132302731,1930,2583.51831054688,1943,2.10285494390774,13.005460361895,5.30075449167385,1,68.7328165834097,-97.4930929021065
AL,167.051132302731,1930,2583.51831054688,1944,6.11009505806642,13.005460361895,18.0410969758613,1,62.2710890342575,-104.992561586884
AL,167.051132302731,1930,2583.51831054688,1945,10.1119541662981,13.005460361895,9.42137365214459,1,54.7408200941175,-112.492030271661
AL,167.051132302731,1930,2583.51831054688,1946,9.3717168026894,13.005460361895,-10.4825059530873,1,46.1721336927175,-119.991498956439
AL,167.051132302731,1930,2583.51831054688,1947,-23.1583517848934,13.005460361895,-1.52831535909216,1,35.8673676788816,-127.490967641216
AL,167.051132302731,1930,2583.51831054688,1948,-0.340882201520312,13.005460361895,0.147128138754818,1,30.7334181273338,-134.990436325994
AL,167.051132302731,1930,2583.51831054688,1949,5.90685896690943,13.005460361895,10.3362613052121,1,24.3681802177223,-142.489905010771
AL,167.051132302731,1930,2583.51831054688,1950,5.40547872353227,13.005460361895,6.56819606159632,1,16.6301702464263,-149.989373695549
AR,148.416624870151,1940,1833.13562011719,1928,12.0731819264177,-0.46381481824469,3.80550724654658,0,149.860599906945,0
AR,148.416624870151,1940,1833.13562011719,1929,13.5198588563894,-0.46381481824469,5.28517737963575,0,150.079251106597,0
AR,148.416624870151,1940,1833.13562011719,1930,6.23828118987356,-0.46381481824469,0.046750644680619,0,149.089172003197,0
AR,148.416624870151,1940,1833.13562011719,1931,5.968499572667,-0.46381481824469,9.1333140894142,0,149.516522013713,0
AR,148.416624870151,1940,1833.13562011719,1932,19.0603125680195,-0.46381481824469,-12.6819007742547,0,149.734942570065,0
AR,148.416624870151,1940,1833.13562011719,1933,6.82075924689333,-0.46381481824469,3.87536030090232,0,149.33885029171,0
AR,148.416624870151,1940,1833.13562011719,1934,12.0888962442678,-0.46381481824469,6.28552423477519,0,149.986172188141,0
AR,148.416624870151,1940,1833.13562011719,1935,11.1496200949201,-0.46381481824469,9.73012923256978,0,150.064474823096,0
AR,148.416624870151,1940,1833.13562011719,1936,2.62309523556819,-0.46381481824469,-8.35893072400666,0,148.307369339332,0
AR,148.416624870151,1940,1833.13562011719,1937,-4.63055818994518,-0.46381481824469,13.7726732302221,0,148.688584194492,0
AR,148.416624870151,1940,1833.13562011719,1938,-15.4781747281506,-0.46381481824469,5.6873983893923,0,147.19955879863,0
AR,148.416624870151,1940,1833.13562011719,1939,8.73353423943695,-0.46381481824469,-2.12516273339671,0,149.23010163925,0
AR,148.416624870151,1940,1833.13562011719,1940,-15.059096288573,-0.46381481824469,2.08322301643512,1,147.06125787394,0
AR,148.416624870151,1940,1833.13562011719,1941,12.5780854769441,-0.46381481824469,-1.50790417333031,1,144.645773901152,-4.99964578985163
AR,148.416624870151,1940,1833.13562011719,1942,-5.56588464332807,-0.46381481824469,14.1619339420622,1,138.615223005043,-9.99929157970323
AR,148.416624870151,1940,1833.13562011719,1943,-24.4899107071786,-0.46381481824469,5.30075449167385,1,131.280115636287,-14.9989373695549
AR,148.416624870151,1940,1833.13562011719,1944,1.34760389803838,-0.46381481824469,18.0410969758613,1,129.501238431166,-19.9985831594065
AR,148.416624870151,1940,1833.13562011719,1945,7.69633579661958,-0.46381481824469,9.42137365214459,1,124.705479664987,-24.9982289492581
AR,148.416624870151,1940,1833.13562011719,1946,1.07604755710975,-0.46381481824469,-10.4825059530873,1,118.048611070923,-29.9978747391097
AR,148.416624870151,1940,1833.13562011719,1947,-16.7708444814343,-0.46381481824469,-1.52831535909216,1,111.711985606916,-34.9975205289613
AR,148.416624870151,1940,1833.13562011719,1948,12.3860773675091,-0.46381481824469,0.147128138754818,1,109.711804176851,-39.9971663188129
AR,148.416624870151,1940,1833.13562011719,1949,-12.6782717942326,-0.46381481824469,10.3362613052121,1,102.715180129149,-44.9968121086646
AR,148.416624870151,1940,1833.13562011719,1950,-12.2956479078236,-0.46381481824469,6.56819606159632,1,97.5653934657571,-49.9964578985162
AZ,209.010159596801,1930,413.36962890625,1928,-3.59589441005854,5.37694966373986,3.80550724654658,0,208.303150551748,0
AZ,209.010159596801,1930,413.36962890625,1929,7.93720246937476,5.37694966373986,5.28517737963575,0,209.530443746346,0
AZ,209.010159596801,1930,413.36962890625,1930,15.4820491038647,5.37694966373986,0.046750644680619,1,210.023007073047,0
AZ,209.010159596801,1930,413.36962890625,1931,-4.74755720900728,5.37694966373986,9.1333140894142,1,200.954905929219,-7.49946868477741
AZ,209.010159596801,1930,413.36962890625,1932,11.2365572296388,5.37694966373986,-12.6819007742547,1,193.963087945123,-14.9989373695549
AZ,209.010159596801,1930,413.36962890625,1933,1.15138300364182,5.37694966373986,3.87536030090232,1,186.282964891504,-22.4984060543323
AZ,209.010159596801,1930,413.36962890625,1934,10.3594860116839,5.37694966373986,6.28552423477519,1,179.824814704224,-29.9978747391097
AZ,209.010159596801,1930,413.36962890625,1935,-10.0229754620026,5.37694966373986,9.73012923256978,1,170.459330121968,-37.4973434238871
AZ,209.010159596801,1930,413.36962890625,1936,5.75593078869057,5.37694966373986,-8.35893072400666,1,163.633299064431,-44.9968121086646
AZ,209.010159596801,1930,413.36962890625,1937,8.09440037512506,5.37694966373986,13.7726732302221,1,157.474257536008,-52.496280793442
AZ,209.010159596801,1930,413.36962890625,1938,6.01258060594762,5.37694966373986,5.6873983893923,1,149.362343132272,-59.9957494782194
AZ,209.010159596801,1930,413.36962890625,1939,17.290934690787,5.37694966373986,-2.12516273339671,1,142.600081799839,-67.4952181629968
AZ,209.010159596801,1930,413.36962890625,1940,12.6761926209419,5.37694966373986,2.08322301643512,1,134.849558195569,-74.9946868477743
AZ,209.010159596801,1930,413.36962890625,1941,22.8003964894867,5.37694966373986,-1.50790417333031,1,128.182953538157,-82.4941555325517
AZ,209.010159596801,1930,413.36962890625,1942,14.4099319210003,5.37694966373986,14.1619339420622,1,120.627930302301,-89.9936242173291
AZ,209.010159596801,1930,413.36962890625,1943,3.94293858763713,5.37694966373986,5.30075449167385,1,111.638703311668,-97.4930929021065
AZ,209.010159596801,1930,413.36962890625,1944,5.6589754040611,5.37694966373986,18.0410969758613,1,104.947855432742,-104.992561586884
AZ,209.010159596801,1930,413.36962890625,1945,-13.4949626528713,5.37694966373986,9.42137365214459,1,95.1020067760856,-112.492030271661
AZ,209.010159596801,1930,413.36962890625,1946,11.6864272367458,5.37694966373986,-10.4825059530873,1,89.1254831000083,-119.991498956439
AZ,209.010159596801,1930,413.36962890625,1947,9.55364633737507,5.37694966373986,-1.52831535909216,1,81.8604458549935,-127.490967641216
AZ,209.010159596801,1930,413.36962890625,1948,3.80623001957454,5.37694966373986,0.147128138754818,1,73.8700077133284,-134.990436325994
AZ,209.010159596801,1930,413.36962890625,1949,10.9434007629566,5.37694966373986,10.3362613052121,1,67.593712761212,-142.489905010771
AZ,209.010159596801,1930,413.36962890625,1950,10.6851431787205,5.37694966373986,6.56819606159632,1,59.8800150558302,-149.989373695549
CA,125.172827392817,2020,5131.89794921875,1928,-2.36472797203817,0.339809244461144,3.80550724654658,0,125.092649033494,0
CA,125.172827392817,2020,5131.89794921875,1929,0.93107161558042,0.339809244461144,5.28517737963575,0,125.49621249891,0
CA,125.172827392817,2020,5131.89794921875,1930,5.55468738161428,0.339809244461144,0.046750644680619,0,125.696652738766,0
CA,125.172827392817,2020,5131.89794921875,1931,4.66523932873933,0.339809244461144,9.1333140894142,0,126.062036105715,0
CA,125.172827392817,2020,5131.89794921875,1932,-5.48286567503148,0.339809244461144,-12.6819007742547,0,123.956464862155,0
CA,125.172827392817,2020,5131.89794921875,1933,-19.7027086133094,0.339809244461144,3.87536030090232,0,123.362343622085,0
CA,125.172827392817,2020,5131.89794921875,1934,2.5339841246697,0.339809244461144,6.28552423477519,0,125.706521092576,0
CA,125.172827392817,2020,5131.89794921875,1935,14.9070094670149,0.339809244461144,9.73012923256978,0,127.1160538767,0
CA,125.172827392817,2020,5131.89794921875,1936,8.23581777110154,0.339809244461144,-8.35893072400666,0,125.54448170928,0
CA,125.172827392817,2020,5131.89794921875,1937,-1.58261762167853,0.339809244461144,13.7726732302221,0,125.669218367714,0
CA,125.172827392817,2020,5131.89794921875,1938,4.17059114961199,0.339809244461144,5.6873983893923,0,125.840275502801,0
CA,125.172827392817,2020,5131.89794921875,1939,2.77789957664294,0.339809244461144,-2.12516273339671,0,125.310378289365,0
CA,125.172827392817,2020,5131.89794921875,1940,2.69994076854541,0.339809244461144,2.08322301643512,0,125.513001696047,0
CA,125.172827392817,2020,5131.89794921875,1941,14.7230188587669,0.339809244461144,-1.50790417333031,0,126.535753145581,0
CA,125.172827392817,2020,5131.89794921875,1942,2.73787170414033,0.339809244461144,14.1619339420622,0,126.120730335888,0
CA,125.172827392817,2020,5131.89794921875,1943,-7.50232257121884,0.339809244461144,5.30075449167385,0,124.653651935832,0
CA,125.172827392817,2020,5131.89794921875,1944,-5.97608711668253,0.339809244461144,18.0410969758613,0,125.443292605495,0
CA,125.172827392817,2020,5131.89794921875,1945,-4.49997351091101,0.339809244461144,9.42137365214459,0,125.159917799887,0
CA,125.172827392817,2020,5131.89794921875,1946,5.02731975447623,0.339809244461144,-10.4825059530873,0,125.117453146164,0
CA,125.172827392817,2020,5131.89794921875,1947,2.91593770478477,0.339809244461144,-1.52831535909216,0,125.354024470894,0
CA,125.172827392817,2020,5131.89794921875,1948,12.9452787960251,0.339809244461144,0.147128138754818,0,126.440730754911,0
CA,125.172827392817,2020,5131.89794921875,1949,1.53158818743324,0.339809244461144,10.3362613052121,0,125.808818352374,0
CA,125.172827392817,2020,5131.89794921875,1950,-1.55196000995833,0.339809244461144,6.56819606159632,0,125.312060270454,0
